,StockCode,sold_times,customer_count,return_rate,quantity_real,sales_total,unit_price,cluster
107,20676,289,178,0.5212035062781332,4199,5248.75,1.25,0
108,20677,215,131,0.16567263088137837,3013,3766.25,1.25,0
110,20679,264,137,0.5646173149309912,1585,7845.75,4.95,0
111,20681,34,29,1.6,123,399.75,3.25,2
112,20682,176,132,0.4775549188156638,1042,3386.5,3.25,0
114,20685,559,323,1.730920535011802,3747,29788.65,7.95,1
115,20686,62,50,0.0,250,812.5,3.25,2
124,20702,40,31,0.0,127,539.75,4.25,2
126,20704,35,34,2.2857142857142856,171,333.45,1.95,2
127,20705,25,24,0.7692307692307693,129,251.54999999999998,1.95,2
128,20707,30,20,0.6493506493506493,153,191.25,1.25,2
129,20711,247,152,0.5240590757503573,4176,8143.2,1.95,0
130,20712,484,240,2.9636947394418374,7858,15323.1,1.95,0
131,20713,396,200,2.434869739478958,9737,18987.149999999998,1.9499999999999997,0
132,20716,35,31,0.0,314,392.5,1.25,2
133,20717,230,150,0.493339911198816,2017,2521.25,1.25,0
134,20718,368,230,0.6069802731411229,3930,4912.5,1.25,0
135,20719,523,236,1.247216035634744,8868,6384.96,0.72,0
136,20723,487,228,1.1061946902654867,6705,5699.25,0.85,0
137,20724,728,331,1.7947686116700203,12202,10371.699999999999,0.8499999999999999,1
138,20725,1269,524,3.168953441644182,16867,27830.55,1.65,1
139,20726,807,364,0.9191794641856293,8839,14584.349999999999,1.65,1
140,20727,1043,453,1.0556010556010555,10873,17940.45,1.6500000000000001,1
141,20728,961,474,1.999252615844544,10490,17308.5,1.65,1
143,20733,46,29,32.78688524590164,615,522.75,0.85,3
144,20735,28,11,0.0,152,129.2,0.85,2
146,20749,355,235,0.5098789037603569,1561,12409.95,7.95,0
147,20750,353,232,0.36036036036036034,1659,13189.050000000001,7.950000000000001,0
148,20751,175,126,0.10638297872340426,939,1971.9,2.1,0
149,20752,115,91,0.5555555555555556,358,751.8000000000001,2.1,2
150,20754,242,153,0.07380073800738007,1354,2843.4,2.1,0
151,20755,49,43,0.0,279,237.15,0.85,2
153,20757,31,30,0.0,155,131.75,0.85,2
154,20758,40,33,0.0,151,128.35,0.85,2
157,20761,49,44,0.0,104,390.0,3.75,2
158,20762,50,42,0.0,100,375.0,3.75,2
160,20764,59,44,0.0,122,457.5,3.75,2
162,20766,47,40,0.0,109,408.75,3.75,2
163,20767,55,49,0.0,206,525.3,2.55,2
164,20768,33,29,0.0,122,311.09999999999997,2.55,2
166,20770,28,24,0.0,107,272.84999999999997,2.55,2
168,20772,42,37,0.46728971962616817,213,543.15,2.55,2
183,20801,55,47,3.7735849056603774,816,612.0,0.75,2
184,20802,44,40,5.555555555555555,612,1009.8,1.65,2
185,20803,31,26,7.4643249176728865,843,354.06,0.42,2
191,20823,7,6,0.0,160,126.4,0.79,2
192,20826,8,7,0.0,276,585.12,2.12,2
194,20828,178,116,0.0,983,2506.6499999999996,2.55,2
195,20829,164,89,9.630818619582666,1126,2364.6,2.1,2
197,20831,20,15,0.0,121,254.10000000000002,2.1,2
198,20832,55,47,0.10660980810234541,937,796.4499999999999,0.85,2
200,20836,17,14,7.0588235294117645,158,131.14,0.83,2
201,20837,15,14,0.0,141,415.95000000000005,2.95,2
202,20838,33,30,3.6363636363636362,318,270.3,0.8500000000000001,2
203,20839,46,41,0.0,430,1268.5,2.95,2
204,20840,40,33,2.8169014084507045,414,351.9,0.85,2
206,20846,59,47,0.0,602,752.5,1.25,2
210,20854,17,16,8.536585365853659,150,247.5,1.65,2
211,20856,27,26,7.142857142857142,130,214.5,1.65,2
214,20866,34,32,29.629629629629626,285,356.25,1.25,3
215,20867,23,21,0.0,185,231.25,1.25,2
216,20868,27,25,0.0,374,467.5,1.25,2
217,20869,16,15,0.0,133,51.870000000000005,0.39,2
219,20886,78,56,1.3274336283185841,446,869.6999999999999,1.95,2
221,20893,18,16,18.090452261306535,163,342.3,2.1,2
230,20914,750,349,1.7255682760909243,5923,15103.65,2.55,1
231,20931,33,32,5.64516129032258,234,877.5,3.75,2
232,20932,19,19,6.578947368421052,142,532.5,3.75,2
238,20956,56,49,0.7163323782234957,693,866.25,1.25,2
239,20961,123,81,0.0,943,1178.75,1.25,2
240,20963,120,81,0.0,1047,1308.75,1.25,2
242,20966,41,28,0.0,589,736.25,1.25,2
243,20967,75,63,0.0,256,960.0,3.75,2
244,20969,245,154,7.9191698525395955,1686,6322.5,3.75,0
245,20970,219,135,0.28873917228103946,1036,3885.0,3.75,0
246,20971,442,271,13.407084136811124,8532,9043.92,1.06,0
247,20972,518,302,0.3472222222222222,6888,8610.0,1.25,1
248,20973,259,179,0.1070090957731407,3734,2427.1,0.65,0
249,20974,296,195,8.428890543559197,6149,3996.8500000000004,0.65,0
250,20975,293,219,1.9694731659281144,5973,3882.4500000000003,0.65,0
251,20977,143,111,4.702194357366771,1520,1900.0,1.25,2
252,20978,175,132,0.0,1568,1960.0,1.25,0
253,20979,225,162,3.8935012882908673,3357,4196.25,1.25,0
255,20981,204,156,1.0567296996662958,1779,1512.1499999999999,0.85,0
256,20982,208,152,0.20833333333333334,1916,1628.6,0.85,0
257,20983,238,183,0.2701659590891548,2584,2196.4,0.8500000000000001,0
258,20984,173,135,0.6345848757271285,3758,3194.2999999999997,0.85,0
259,20985,86,63,1.6177957532861478,973,1216.25,1.25,2
260,20986,55,36,0.0,445,556.25,1.25,2
261,20992,241,155,0.0,4134,3513.9,0.85,0
262,20996,173,115,0.0,2869,1204.98,0.42,0
264,20998,28,27,0.0,119,351.05,2.95,2
270,21012,66,56,0.672645739910314,443,930.3000000000001,2.1,2
271,21014,70,64,0.0,1233,1048.05,0.85,2
272,21015,60,52,0.34453057708871665,1157,983.4499999999999,0.85,2
274,21025,16,14,0.0,100,125.0,1.25,2
275,21026,22,20,0.0,140,175.0,1.25,2
277,21028,20,15,0.0,114,142.5,1.25,2
278,21030,22,19,0.0,111,138.75,1.25,2
281,21033,108,75,0.10857763300760044,920,2714.0,2.95,2
282,21034,856,464,1.191827468785471,1741,1653.9499999999998,0.9499999999999998,1
283,21035,215,148,9.103322712790169,1997,5891.150000000001,2.95,0
285,21039,76,57,2.357563850687623,497,1267.35,2.55,2
287,21041,140,100,0.5272407732864675,566,1669.7,2.95,2
288,21042,106,71,2.0066889632107023,293,1743.3500000000001,5.95,2
289,21043,57,52,0.0,441,2623.9500000000003,5.95,2
292,21055,80,62,4.225352112676056,136,1217.1999999999998,8.95,2
293,21056,64,45,1.183431952662722,167,1494.6499999999999,8.95,2
294,21058,88,67,1.1494252873563218,1032,877.1999999999999,0.85,2
295,21059,75,66,2.112676056338028,556,472.59999999999997,0.85,2
296,21060,51,45,0.0,342,290.7,0.85,2
297,21061,50,47,0.0,398,338.3,0.85,2
298,21062,60,54,0.0,488,414.8,0.85,2
299,21063,78,63,0.0,468,397.8,0.85,2
300,21064,44,34,0.0,111,660.45,5.95,2
301,21065,38,27,0.0,479,2850.05,5.95,2
302,21066,40,31,1.749271137026239,674,842.5,1.25,2
303,21067,42,30,13.432835820895523,174,217.5,1.25,2
304,21068,123,81,2.75049115913556,1485,1574.1000000000001,1.06,2
305,21069,51,35,37.54686663095876,1166,1457.5,1.25,3
306,21070,77,51,0.0,1029,1286.25,1.25,2
307,21071,109,72,0.7100591715976331,839,889.34,1.06,2
308,21078,202,148,0.0,2483,2110.5499999999997,0.8499999999999999,0
309,21080,730,422,0.14074012749399786,12062,7719.68,0.64,1
310,21084,102,88,1.120971508640822,2117,1376.05,0.65,2
311,21086,289,166,0.0,6537,4249.05,0.65,0
312,21087,10,10,0.0,126,81.9,0.65,2
313,21088,73,67,0.7731958762886598,1540,1001.0,0.65,2
314,21089,24,23,0.0,231,150.15,0.65,2
315,21090,114,97,2.185792349726776,1611,1369.35,0.85,2
316,21094,326,178,0.0,7327,6227.95,0.85,0
318,21096,70,63,0.0,1143,971.55,0.85,2
319,21098,152,104,1.1980033277870217,2969,3711.25,1.25,2
321,21106,35,30,0.0,193,569.35,2.95,2
322,21107,62,48,0.0,597,1761.15,2.95,2
323,21108,179,154,31.745388201905534,6734,17171.699999999997,2.5499999999999994,3
324,21109,49,38,0.0,595,4016.25,6.75,2
325,21110,79,62,0.2583979328165375,772,5211.0,6.75,2
326,21111,39,35,0.0,588,1734.6000000000001,2.95,2
327,21112,46,37,0.0,1245,3672.75,2.95,2
328,21114,128,104,0.759301442672741,1307,1633.75,1.25,2
329,21115,104,81,0.0,364,2457.0,6.75,2
330,21116,117,80,0.0,488,2415.6,4.95,2
331,21117,14,11,0.0,109,735.75,6.75,2
332,21121,330,230,0.7512912818907498,6341,7926.25,1.25,0
333,21122,305,210,0.9523809523809524,5096,6370.0,1.25,0
334,21123,96,63,2.5423728813559325,920,1150.0,1.25,2
335,21124,224,176,1.2465021622996693,3882,4852.5,1.25,0
336,21125,66,57,0.33726812816188867,591,738.75,1.25,2
337,21126,67,56,0.0,475,593.75,1.25,2
342,21135,161,120,10.956848030018762,2373,4010.37,1.69,0
343,21136,351,254,0.20543254964619947,4372,7388.679999999999,1.69,0
344,21137,292,135,0.15095099124484251,9922,33635.58,3.39,0
345,21143,28,26,0.6779661016949152,293,571.35,1.9500000000000002,2
346,21145,8,8,0.0,122,152.5,1.25,2
348,21154,254,169,6.829896907216495,2892,3065.52,1.06,0
349,21155,352,204,9.782161939991779,2195,4609.5,2.1,0
350,21156,284,198,1.3365318711446197,2879,5614.05,1.95,0
352,21158,146,101,1.7278617710583155,1365,1979.25,1.45,2
353,21159,104,72,0.0,1077,1561.6499999999999,1.45,2
354,21161,36,25,0.0,130,188.5,1.45,2
355,21162,131,96,0.0,1353,1961.85,1.45,2
356,21163,114,86,0.08539709649871904,1170,1696.5,1.45,2
357,21164,237,161,0.3640776699029126,1642,4843.900000000001,2.95,0
358,21165,357,174,0.30721966205837176,3894,6580.86,1.69,0
359,21166,574,276,0.9340777324457806,9227,17992.649999999998,1.9499999999999997,1
360,21167,23,20,4.803073967339097,991,208.10999999999999,0.21,2
361,21169,330,184,0.44720496894409933,4007,6771.83,1.69,0
362,21171,60,43,0.0,424,614.8,1.45,2
363,21172,364,229,0.4009870450339297,3229,4682.05,1.45,0
364,21174,355,215,0.0,3623,7064.849999999999,1.95,0
365,21175,673,335,17.33117049432255,9683,20334.3,2.1,1
366,21179,172,122,0.6730229949523275,1771,2213.75,1.25,0
367,21181,657,350,0.7729897823189694,11168,23452.8,2.1,1
368,21187,34,30,0.0,328,541.1999999999999,1.6499999999999997,2
369,21188,34,27,0.0,294,867.3000000000001,2.95,2
370,21189,25,24,0.0,136,224.39999999999998,1.65,2
371,21190,7,6,29.761904761904763,118,194.7,1.65,3
372,21191,42,36,0.0,360,756.0,2.1,2
373,21192,42,32,0.0,924,1524.6,1.65,2
374,21194,37,35,2.493765586034913,391,821.1,2.1,2
375,21195,24,21,0.0,417,875.7,2.1,2
377,21197,12,12,9.090909090909092,210,346.5,1.65,2
378,21198,49,46,7.570977917981073,879,369.18,0.42,2
379,21199,48,44,5.633802816901409,804,1326.6,1.65,2
380,21200,39,33,0.0,1010,1666.5,1.65,2
381,21201,74,43,0.08598452278589853,1162,2963.1,2.55,2
382,21202,20,20,0.0,448,739.1999999999999,1.65,2
383,21204,49,42,0.0,405,668.25,1.65,2
384,21205,50,42,9.615384615384617,188,479.4,2.55,2
385,21206,77,55,0.16393442622950818,1218,2009.6999999999998,1.65,2
386,21207,84,74,0.0,969,1598.85,1.65,2
387,21208,53,47,4.880952380952381,799,1318.35,1.65,2
388,21209,53,46,1.725703905540418,1082,1785.3,1.65,2
389,21210,359,243,2.3644444444444446,5492,7963.4,1.45,0
390,21211,67,58,0.0,815,1181.75,1.45,2
391,21212,1029,628,0.8506559635775475,33102,13902.84,0.42,1
392,21213,494,290,0.33879164313946925,14120,7766.000000000001,0.55,1
393,21215,63,50,0.0,865,363.3,0.42000000000000004,2
394,21216,238,148,0.8324084350721421,1787,8845.65,4.95,0
395,21217,251,165,0.9544008483563097,934,9293.3,9.95,0
396,21218,201,127,1.2236906510034264,2018,7567.5,3.75,0
397,21219,41,34,0.0,321,401.25,1.25,2
398,21220,37,31,0.0,222,277.5,1.25,2
399,21221,23,23,0.0,200,250.0,1.25,2
400,21222,34,25,0.0,192,240.0,1.25,2
401,21224,79,56,0.8253094910591471,721,901.25,1.25,2
404,21231,375,213,2.7480371163454675,5450,6812.5,1.25,0
405,21232,573,312,3.8321536905965625,9511,11888.75,1.25,1
406,21238,272,156,1.0074841681059297,3439,2923.15,0.85,0
407,21239,197,137,0.8274231678486997,2517,2139.45,0.85,0
408,21240,212,146,1.0576923076923077,3087,2623.95,0.85,0
409,21242,215,145,1.0214504596527068,2907,4912.83,1.69,0
410,21243,146,102,0.3833253473885961,2079,3513.5099999999998,1.69,2
411,21244,148,107,0.7038948850305021,2116,3576.04,1.69,2
412,21245,99,71,0.0,899,1519.31,1.69,2
413,21246,39,33,1.1428571428571428,173,856.35,4.95,2
414,21248,50,45,0.5780346820809248,172,249.4,1.45,2
415,21249,78,67,0.0,666,1964.7,2.95,2
417,21251,35,32,0.0,165,486.75000000000006,2.95,2
419,21257,146,97,2.5423728813559325,460,3657.0,7.95,2
420,21258,97,57,13.010204081632654,341,3733.95,10.95,2
421,21259,229,131,1.1090573012939002,1070,6366.5,5.95,0
422,21260,147,102,3.849597135183527,1074,3490.5,3.25,2
423,21261,26,23,0.0,166,2813.7,16.95,2
424,21262,46,40,1.968503937007874,249,734.5500000000001,2.95,2
425,21263,31,28,1.3333333333333335,148,288.59999999999997,1.9499999999999997,2
426,21264,35,31,3.3472803347280333,231,450.45,1.95,2
427,21265,13,13,0.0,110,214.5,1.95,2
431,21272,62,49,0.4016064257028112,496,620.0,1.25,2
438,21284,15,15,16.666666666666664,180,304.2,1.69,2
441,21287,52,45,0.0,1773,2216.25,1.25,2
442,21288,40,33,9.486166007905137,229,675.5500000000001,2.95,2
443,21289,19,19,4.514672686230249,423,528.75,1.25,2
444,21291,40,32,0.0,920,782.0,0.85,2
445,21292,25,25,0.0,769,653.65,0.85,2
446,21293,18,13,0.0,100,210.0,2.1,2
447,21294,60,46,0.0,1536,1920.0,1.25,2
448,21306,34,34,3.9337474120082816,464,974.4000000000001,2.1,2
451,21311,44,39,6.0,423,888.3000000000001,2.1,2
452,21313,123,93,1.117519826964672,2743,2331.5499999999997,0.8499999999999999,2
453,21314,329,210,3.6127167630057806,3335,7003.5,2.1,0
454,21316,9,9,0.0,148,436.6,2.95,2
456,21318,41,38,2.5073746312684366,661,1090.6499999999999,1.6499999999999997,2
457,21319,12,12,0.6802721088435374,146,211.7,1.45,2
458,21320,12,10,3.763440860215054,179,456.45,2.55,2
460,21326,268,166,0.22245762711864409,9419,6122.35,0.65,0
461,21327,142,98,0.0,519,856.3499999999999,1.65,2
462,21328,182,133,0.0,743,1225.95,1.6500000000000001,0
463,21329,161,116,0.0,565,932.25,1.65,2
468,21340,255,174,2.634467618002195,887,11309.25,12.75,0
470,21348,5,5,0.0,139,354.45,2.55,2
473,21352,37,35,2.8938906752411575,302,2038.5,6.75,2
474,21354,67,55,0.0,727,763.35,1.05,2
475,21355,107,92,0.0,769,961.25,1.25,2
476,21356,53,37,0.0,298,372.5,1.25,2
478,21358,58,53,0.0,326,407.5,1.25,2
479,21359,26,22,1.5873015873015872,124,1977.8,15.95,2
482,21363,94,67,6.763285024154589,193,955.35,4.95,2
484,21365,40,32,0.0,296,873.2,2.95,2
486,21367,33,28,0.0,150,382.5,2.55,2
487,21368,29,24,0.0,148,377.4,2.55,2
490,21371,29,24,0.0,237,604.3499999999999,2.55,2
492,21373,40,37,2.7649769585253456,422,316.5,0.75,2
493,21374,39,36,0.0,258,967.5,3.75,2
498,21379,20,20,0.0,117,146.25,1.25,2
499,21380,231,137,0.04798464491362764,2083,6144.85,2.95,0
500,21381,138,86,1.4775413711583925,1667,2817.23,1.69,2
501,21382,93,63,0.7714561234329798,1029,3035.55,2.95,2
502,21383,76,73,0.26595744680851063,750,487.5,0.65,2
503,21385,209,151,0.05688282138794084,3514,2986.9,0.85,0
504,21386,48,40,0.0,613,521.05,0.85,2
505,21389,98,80,0.0999000999000999,1000,850.0,0.85,2
506,21390,175,116,0.08034279592929834,3731,4663.75,1.25,0
507,21391,77,69,0.31088082901554404,962,2020.2,2.1,2
510,21394,114,88,0.5756148613291471,3800,7410.0,1.95,2
511,21395,78,63,0.3563791874554526,2796,1090.44,0.39,2
512,21397,44,43,0.0,1016,1270.0,1.25,2
513,21398,49,43,0.0,1499,3147.9,2.1,2
514,21399,62,50,5.454545454545454,1924,4040.4,2.1,2
515,21400,47,41,0.0,832,349.44,0.42,2
516,21401,56,47,0.0,978,410.76,0.42,2
517,21402,61,54,0.0,1290,154.79999999999998,0.11999999999999998,2
518,21403,70,57,0.0,1715,720.3,0.42,2
519,21407,94,79,0.4291845493562232,232,986.0,4.25,2
520,21408,52,41,1.639344262295082,120,510.0,4.25,2
521,21411,151,126,1.411764705882353,419,1780.75,4.25,0
524,21415,27,22,0.0,165,346.5,2.1,2
526,21417,24,17,0.6802721088435374,146,306.6,2.1,2
529,21421,13,11,0.0,298,372.5,1.25,2
530,21422,46,32,0.1282051282051282,1558,1324.3,0.85,2
531,21424,22,19,2.2026431718061676,222,654.9000000000001,2.9500000000000006,2
533,21426,18,15,1.8779342723004695,209,438.90000000000003,2.1,2
535,21428,177,114,0.9233610341643583,1073,4560.25,4.25,0
536,21429,212,143,1.1176857330703485,1504,2481.6,1.65,0
537,21430,313,183,1.4947683109118086,2636,9885.0,3.75,0
538,21439,74,48,31.312356101304683,895,1118.75,1.25,3
539,21441,31,27,0.0,236,200.6,0.85,2
540,21442,29,26,0.0,246,177.12,0.72,2
541,21445,21,17,1.8691588785046727,210,262.5,1.25,2
542,21446,75,45,0.0,380,475.0,1.25,2
543,21447,92,56,0.13351134846461948,748,935.0,1.25,2
544,21448,66,46,0.0,322,531.3,1.65,2
545,21452,130,105,3.319502074688797,699,2062.05,2.95,2
546,21454,45,40,0.0,311,264.34999999999997,0.8499999999999999,2
547,21455,33,31,4.905660377358491,252,214.2,0.85,2
548,21456,18,16,0.6711409395973155,148,185.0,1.25,2
549,21457,16,15,0.0,115,143.75,1.25,2
550,21458,19,18,0.0,158,197.5,1.25,2
554,21462,55,46,0.0,101,681.75,6.75,2
555,21463,124,75,6.78513731825525,577,3433.15,5.95,2
556,21464,100,55,3.7344398340248963,232,986.0,4.25,2
557,21465,62,54,0.0,187,701.25,3.75,2
558,21466,88,69,0.0,259,971.25,3.75,2
559,21467,77,57,0.9345794392523363,212,795.0,3.75,2
560,21468,50,43,0.0,123,461.25,3.75,2
561,21469,69,57,0.823045267489712,241,903.75,3.75,2
562,21470,112,75,1.5197568389057752,324,1215.0,3.75,2
563,21471,92,77,0.8113590263691683,489,1833.75,3.75,2
564,21472,33,29,0.0,119,446.25,3.75,2
567,21479,355,239,7.318037974683545,2343,8786.25,3.75,0
568,21481,352,238,3.2,2662,7852.900000000001,2.95,0
569,21484,266,199,3.287671232876712,1412,4871.400000000001,3.45,0
570,21485,502,360,0.6313131313131313,3148,13379.0,4.25,1
573,21494,122,77,0.1694915254237288,1178,1472.5,1.25,2
574,21495,159,100,0.4424778761061947,5625,2362.5,0.42,2
575,21497,220,170,0.0,8125,3412.5,0.42,0
576,21498,322,230,0.49275647974770864,10097,4240.74,0.42,0
577,21499,211,171,3.308823529411765,6575,2235.5,0.34,0
578,21500,208,159,0.0,6225,2614.5,0.42,0
579,21503,23,22,0.13774104683195593,725,304.5,0.42,2
580,21504,92,73,0.0,1788,750.9599999999999,0.42,2
581,21506,240,164,0.2762430939226519,4332,1819.4399999999998,0.42,0
582,21507,189,134,0.3889789303079416,3073,1106.28,0.36,0
583,21508,140,104,0.0,2321,835.56,0.36,2
584,21509,195,137,0.0,3496,1468.32,0.42,0
585,21518,17,16,0.0,265,111.3,0.42,2
586,21519,188,99,1.131719585036152,3145,1320.8999999999999,0.41999999999999993,2
587,21520,33,29,0.437636761487965,455,191.1,0.42,2
588,21523,383,198,0.1644736842105263,3035,20486.25,6.75,0
589,21524,391,245,0.3705991352686844,1613,12823.35,7.95,0
590,21527,134,95,7.327586206896551,430,3418.5,7.95,2
591,21528,86,62,7.954545454545454,162,1125.9,6.95,2
592,21530,82,62,8.090185676392574,693,2044.3500000000001,2.95,2
593,21531,204,140,0.9595613433858807,1445,3684.7499999999995,2.55,0
594,21533,301,205,2.4256651017214397,1247,6172.650000000001,4.95,0
595,21534,121,92,4.166666666666666,299,1480.05,4.95,2
596,21535,304,199,1.2386457473162675,2392,6099.599999999999,2.55,0
597,21537,55,49,17.51592356687898,259,1100.75,4.25,2
599,21539,213,123,2.4572649572649574,913,4519.35,4.95,0
600,21544,108,77,0.0,1760,1496.0,0.85,2
603,21556,47,38,0.12437810945273632,803,2047.6499999999999,2.55,2
604,21557,49,25,0.0,291,858.45,2.95,2
605,21558,267,166,0.20693222969477496,1929,4918.95,2.55,0
606,21559,427,232,0.38022813688212925,3668,9353.4,2.55,0
607,21561,165,114,0.16406890894175555,1217,3103.35,2.55,2
608,21562,25,20,0.0,319,398.75,1.25,2
609,21563,119,83,0.0,745,2197.75,2.95,2
610,21564,92,54,0.7159904534606205,416,1227.2,2.95,2
611,21576,44,38,0.0,165,371.25,2.25,2
612,21577,115,93,1.289134438305709,536,1206.0,2.25,2
613,21578,82,68,0.34305317324185247,581,1307.25,2.25,2
614,21579,30,28,7.462686567164178,124,279.0,2.25,2
616,21581,40,33,7.2727272727272725,153,344.25,2.25,2
617,21584,145,114,0.09852216748768472,1014,1673.1,1.65,2
618,21586,66,54,1.7783857729138166,718,1830.8999999999999,2.55,2
619,21587,29,25,0.0,195,497.24999999999994,2.55,2
620,21588,125,95,0.07892659826361484,1266,3228.2999999999997,2.55,2
621,21591,143,112,4.81283422459893,1068,1335.0,1.25,2
622,21592,187,140,0.0,1577,1971.25,1.25,0
623,21609,74,59,0.0,760,2242.0,2.95,2
624,21613,38,37,0.0,221,651.95,2.95,2
626,21615,100,84,0.0,825,3093.75,3.75,2
627,21616,101,80,0.0,717,2688.75,3.75,2
628,21617,78,62,0.0,470,1762.5,3.75,2
629,21618,57,48,0.0,301,1128.75,3.75,2
630,21619,110,93,0.0,833,3123.75,3.75,2
631,21620,107,86,0.0,657,2463.75,3.75,2
632,21621,388,260,1.1173184357541899,2478,21063.0,8.5,0
633,21622,90,75,5.084745762711865,336,1663.2,4.95,2
634,21623,195,133,0.12562814070351758,3180,31640.999999999996,9.95,0
635,21624,81,72,2.564102564102564,190,1130.5,5.95,2
636,21625,111,96,0.0,296,2057.2000000000003,6.950000000000001,2
637,21626,75,64,2.968960863697706,719,1402.05,1.95,2
642,21631,16,15,0.0,155,612.25,3.95,2
645,21634,23,22,0.0,948,1185.0,1.25,2
646,21635,15,15,0.0,270,1012.5,3.75,2
647,21636,70,57,0.0,882,2249.1,2.55,2
648,21637,6,6,0.0,109,136.25,1.25,2
649,21638,29,23,0.0,230,483.0,2.1,2
650,21640,47,35,0.0,499,424.15,0.85,2
651,21641,23,19,0.0,1102,936.6999999999999,0.85,2
652,21642,89,77,1.8465326220763234,2392,2033.2,0.85,2
653,21643,31,27,2.4489795918367347,478,597.5,1.25,2
654,21644,34,29,11.627906976744185,190,237.5,1.25,2
655,21647,24,21,0.9433962264150944,105,220.5,2.1,2
656,21648,31,26,0.15479876160990713,645,806.25,1.25,2
657,21650,67,47,1.1044638748274276,2149,1396.8500000000001,0.65,2
658,21651,10,9,0.0,125,206.25,1.65,2
659,21654,48,40,0.0,934,1354.3,1.45,2
661,21656,17,15,0.0,117,169.65,1.45,2
